county,precinct,cleveland,duncan,housewritein,housetotal
anderson,Appleton-Equinox,153,168,0,321
anderson,Barker's Creek-McAdams,24,214,0,238
anderson,Belton,187,643,1,831
anderson,Broadview,200,124,0,324
anderson,Bishop's Branch,209,871,1,1081
anderson,Bowling Green,54,292,0,346
anderson,Broadway,197,431,0,628
anderson,Brushy Creek,173,1181,1,1355
anderson,Cedar Grove,113,584,1,698
anderson,Centerville Station A,308,1057,0,1365
anderson,Chiquola Mill,116,170,0,286
anderson,Concrete,285,1335,1,1621
anderson,Craytonville,46,531,0,577
anderson,Denver-Sandy Springs,133,600,1,734
anderson,Edgewood Station A,298,633,0,931
anderson,Five Forks,205,739,0,944
anderson,Flat Rock,140,567,0,707
anderson,Fork No.1,124,571,1,696
anderson,Fork No.2,121,702,3,826
anderson,Friendship,98,556,0,654
anderson,Gluck Mill,87,115,0,202
anderson,Green Pond Station A,239,1045,1,1285
anderson,Grove School,37,310,0,347
anderson,Hall,146,531,1,678
anderson,Hammond School,223,894,2,1119
anderson,High Point,37,306,0,343
anderson,Homeland Park,435,609,1,1045
anderson,Honea Path,138,642,1,781
anderson,Hopewell,125,678,1,804
anderson,Iva,157,661,0,818
anderson,Jackson Mill,39,366,1,406
anderson,La France,118,391,1,510
anderson,Melton,88,304,0,392
anderson,Mount Tabor,305,936,0,1241
anderson,Mountain Creek,141,434,1,576
anderson,Neal's Creek,287,603,1,891
anderson,North Pointe,146,698,2,846
anderson,Pelzer,63,352,2,417
anderson,Pendleton,591,815,1,1407
anderson,Piedmont,91,392,2,485
anderson,Piercetown,154,960,1,1115
anderson,Rock Mill,99,514,1,614
anderson,Rock Spring,93,337,0,430
anderson,Shirley's Store,84,371,0,455
anderson,Simpsonville,233,1220,0,1453
anderson,Starr,61,436,1,498
anderson,Three and Twenty,172,1192,1,1365
anderson,Toney Creek,33,261,0,294
anderson,Townville,58,347,0,405
anderson,Town Creek,123,615,0,738
anderson,West Pelzer,133,810,1,944
anderson,West Savannah,45,139,0,184
anderson,White Plains,238,1421,1,1660
anderson,Williamston,214,937,1,1152
anderson,Williamston Mill,198,1136,2,1336
anderson,Wright's School,46,417,0,463
anderson,Anderson 1/1,226,426,0,652
anderson,Anderson 1/2,132,529,3,664
anderson,Anderson 2/1,160,475,2,637
anderson,Anderson 2/2,346,771,0,1117
anderson,Anderson 3/1,180,145,1,326
anderson,Anderson 3/2,728,327,0,1055
anderson,Anderson 4/1,223,65,0,288
anderson,Anderson 4/2,278,36,0,314
anderson,Anderson 5/A,211,84,0,295
anderson,Anderson 5/B,400,93,0,493
anderson,Anderson 6/1,246,571,1,818
anderson,Anderson 6/2,140,29,0,169
anderson,Varennes,205,313,1,519
anderson,Lakeside,430,689,0,1119
anderson,Centerville Station B,330,966,0,1296
anderson,Edgewood Station B,195,791,5,991
anderson,Cox's Creek,89,340,0,429
anderson,Mt. Airy,187,1207,1,1395
anderson,Belton Annex,207,758,2,967
anderson,Powdersville,321,1309,2,1632
anderson,Glenview,273,642,1,916
anderson,Hammond Annex,182,655,1,838
anderson,Center Rock,233,989,0,1222
anderson,Hunt Meadows,334,1924,2,2260
anderson,Absentee 1,962,2183,2,3147
anderson,Absentee 2,1330,4081,3,5414
anderson,Absentee 3,606,1736,1,2343
anderson,Absentee 4,876,1688,2,2566
anderson,Emergency 1,0,0,0,0
anderson,Emergency 2,0,0,0,0
anderson,Emergency 3,0,0,0,0
anderson,Emergency 4,0,0,0,0
anderson,Failsafe 1,25,18,0,43
anderson,Failsafe 2,23,47,0,70
anderson,Failsafe 3,14,25,0,39
anderson,Failsafe 4,33,16,0,49
anderson,Provisional 1,1,8,0,9
anderson,Provisional 2,2,3,0,5
anderson,Provisional 3,0,5,0,5
anderson,Provisional 4,1,5,0,6
anderson,Failsafe / Provisional 1,50,108,0,158
