county,precinct,bc,rv,vtp
anderson,Appleton-Equinox,349,899,38.82091212458287
anderson,Barker's Creek-McAdams,245,336,72.91666666666666
anderson,Belton,897,1831,48.98962315674495
anderson,Broadview,347,642,54.04984423676012
anderson,Bishop's Branch,1139,1860,61.236559139784944
anderson,Bowling Green,363,634,57.25552050473186
anderson,Broadway,655,1306,50.153139356814705
anderson,Brushy Creek,1406,2161,65.06247107820454
anderson,Cedar Grove,752,1340,56.11940298507463
anderson,Centerville Station A,1424,2710,52.54612546125461
anderson,Chiquola Mill,309,712,43.39887640449438
anderson,Concrete,1689,2850,59.26315789473684
anderson,Craytonville,608,964,63.07053941908713
anderson,Denver-Sandy Springs,774,1587,48.77126654064272
anderson,Edgewood Station A,984,2134,46.11059044048735
anderson,Five Forks,981,1454,67.46905089408529
anderson,Flat Rock,748,1316,56.838905775075986
anderson,Fork No.1,742,1316,56.38297872340425
anderson,Fork No.2,882,1427,61.80798878766643
anderson,Friendship,687,1059,64.87252124645893
anderson,Gluck Mill,213,433,49.19168591224018
anderson,Green Pond Station A,1365,2461,55.46525802519301
anderson,Grove School,362,551,65.69872958257713
anderson,Hall,716,1405,50.96085409252669
anderson,Hammond School,1181,2240,52.723214285714285
anderson,High Point,360,559,64.40071556350627
anderson,Homeland Park,1135,2594,43.754818812644565
anderson,Honea Path,821,1382,59.40665701881331
anderson,Hopewell,844,1530,55.16339869281046
anderson,Iva,872,1560,55.8974358974359
anderson,Jackson Mill,433,751,57.65645805592543
anderson,La France,537,930,57.74193548387097
anderson,Melton,414,625,66.24
anderson,Mount Tabor,1290,2306,55.941023417172595
anderson,Mountain Creek,605,1256,48.1687898089172
anderson,Neal's Creek,932,1906,48.89821615949633
anderson,North Pointe,881,1682,52.3781212841855
anderson,Pelzer,444,773,57.4385510996119
anderson,Pendleton,1511,3022,50
anderson,Piedmont,502,880,57.04545454545455
anderson,Piercetown,1163,1911,60.858189429618
anderson,Rock Mill,652,1140,57.19298245614035
anderson,Rock Spring,465,792,58.71212121212122
anderson,Shirley's Store,477,768,62.109375
anderson,Simpsonville,1499,2492,60.15248796147673
anderson,Starr,526,831,63.29723225030084
anderson,Three and Twenty,1407,2333,60.308615516502364
anderson,Toney Creek,312,533,58.536585365853654
anderson,Townville,437,732,59.699453551912576
anderson,Town Creek,769,1616,47.586633663366335
anderson,West Pelzer,1001,1763,56.778218944980154
anderson,West Savannah,194,301,64.45182724252491
anderson,White Plains,1732,2860,60.55944055944056
anderson,Williamston,1230,2241,54.886211512717544
anderson,Williamston Mill,1408,2735,51.480804387568554
anderson,Wright's School,485,734,66.07629427792916
anderson,Anderson 1/1,687,1659,41.41048824593128
anderson,Anderson 1/2,687,1301,52.805534204458105
anderson,Anderson 2/1,675,1375,49.09090909090909
anderson,Anderson 2/2,1172,2500,46.88
anderson,Anderson 3/1,347,941,36.87566418703507
anderson,Anderson 3/2,1112,2542,43.74508261211644
anderson,Anderson 4/1,307,776,39.56185567010309
anderson,Anderson 4/2,330,827,39.90326481257557
anderson,Anderson 5/A,308,960,32.083333333333336
anderson,Anderson 5/B,516,1389,37.14902807775378
anderson,Anderson 6/1,874,1808,48.34070796460177
anderson,Anderson 6/2,177,441,40.136054421768705
anderson,Varennes,554,1291,42.91247095274981
anderson,Lakeside,1188,2445,48.58895705521473
anderson,Centerville Station B,1358,2738,49.59824689554419
anderson,Edgewood Station B,1041,2034,51.17994100294986
anderson,Cox's Creek,457,1198,38.14691151919866
anderson,Mt. Airy,1450,2266,63.98940864960282
anderson,Belton Annex,1004,1802,55.71587125416204
anderson,Powdersville,1687,2845,59.29701230228471
anderson,Glenview,955,1886,50.63626723223754
anderson,Hammond Annex,867,1892,45.82452431289641
anderson,Center Rock,1293,2284,56.611208406304726
anderson,Hunt Meadows,2345,3852,60.87746625129803
