"county","precinct","bc","rv","vtp","dem","wf","constitution","independence","green","gop","american","libertarian","sttotal","clinton","castle","mcmullin","stein","trump","skewes","johnson","potustotal","dixon","bledsoe","scott","scarborough","senwritein","sentotal","cleveland","duncan","housewritein","housetotal"
"oconee","Newry-Corinth",155,281,55.1601423487544,15,1,1,0,0,48,0,0,65,45,0,0,2,103,1,4,155,48,6,96,2,0,152,45,103,0,148
"oconee","Earles Grove",508,824,61.6504854368932,34,3,0,1,2,188,2,0,230,65,0,0,3,428,1,8,505,67,4,423,3,0,497,61,432,0,493
"oconee","Ravenel",1300,2505,51.8962075848303,155,1,0,6,2,351,1,1,517,432,1,26,6,780,6,36,1287,331,23,903,9,0,1266,377,870,1,1248
"oconee","Fair Play",541,947,57.1277719112988,35,1,1,3,0,244,3,0,287,62,1,3,0,463,1,5,535,60,5,455,6,0,526,57,449,2,508
"oconee","Friendship",1070,1988,53.8229376257545,110,9,4,13,3,395,9,6,549,230,6,16,7,763,4,33,1059,193,25,801,12,2,1033,216,788,1,1005
"oconee","Holly Springs",227,361,62.8808864265928,7,5,1,3,0,104,2,1,123,18,0,0,1,199,1,4,223,28,4,190,2,0,224,20,195,1,216
"oconee","Keowee",852,1783,47.7846326416153,48,4,1,6,3,318,2,2,384,140,1,9,5,673,1,13,842,107,12,705,6,2,832,112,700,0,812
"oconee","Long Creek",244,384,63.5416666666667,22,1,0,2,4,74,2,0,105,61,0,1,6,165,2,8,243,64,4,161,2,0,231,64,160,0,224
"oconee","Mountain Rest",551,876,62.8995433789954,38,2,0,3,2,181,3,1,230,108,1,4,5,417,1,9,545,109,6,416,4,0,535,110,412,1,523
"oconee","Madison",366,605,60.495867768595,13,1,0,3,0,169,0,0,186,33,1,3,7,312,0,6,362,39,10,303,2,0,354,35,315,1,351
"oconee","Bountyland",806,1791,45.0027917364601,63,6,0,5,1,303,1,2,381,181,4,11,10,572,1,18,797,145,12,626,2,0,785,155,611,1,767
"oconee","Oakway",758,1315,57.6425855513308,54,3,4,4,0,281,4,4,354,103,2,9,3,619,3,11,750,99,9,615,4,1,728,98,624,1,723
"oconee","Return",448,693,64.6464646464647,23,2,0,1,0,166,1,2,195,53,0,2,0,377,0,11,443,47,5,386,1,0,439,56,374,0,430
"oconee","Richland",608,998,60.9218436873748,44,2,1,7,2,207,1,2,266,97,1,4,7,479,2,14,604,85,6,488,4,1,584,81,483,2,566
"oconee","Salem",1026,1791,57.286432160804,53,7,2,8,4,418,7,1,500,137,1,2,3,851,2,18,1014,117,20,846,6,1,990,115,853,2,970
"oconee","Stamp Creek",998,2741,36.4100693177672,67,0,0,7,1,363,0,1,439,247,2,9,5,696,2,26,987,153,7,809,1,0,970,182,766,2,950
"oconee","New Hope",1014,2239,45.2880750334971,46,1,0,5,1,368,1,1,423,166,4,16,5,782,5,29,1007,133,8,830,7,1,979,135,828,0,963
"oconee","Shiloh",651,1172,55.5460750853242,114,4,1,4,1,186,2,1,313,215,3,12,1,394,7,12,644,185,9,436,8,0,638,199,428,0,627
"oconee","South Union",821,1557,52.7296082209377,54,10,1,10,4,346,3,3,431,143,2,9,6,635,2,17,814,130,12,643,7,0,792,129,647,1,777
"oconee","Tamassee",781,1332,58.6336336336336,51,2,0,4,2,287,3,3,352,119,1,8,2,631,1,15,777,107,12,633,4,1,757,108,634,1,743
"oconee","Tokeena-Providence",712,1291,55.151045701007,50,3,1,5,0,278,2,0,339,104,6,8,4,562,5,15,704,101,16,554,4,0,675,95,575,0,670
"oconee","Utica",349,732,47.6775956284153,84,6,0,5,2,93,2,1,193,145,1,2,7,180,3,7,345,139,5,195,3,0,342,145,187,0,332
"oconee","Walhalla 1",1462,3583,40.8037957019258,108,11,1,13,7,470,3,9,622,279,4,12,17,1091,2,43,1448,254,33,1108,11,1,1407,233,1148,4,1385
"oconee","Walhalla 2",1101,2720,40.4779411764706,120,17,3,5,5,398,9,3,560,216,5,7,7,843,3,19,1100,209,32,803,14,2,1060,199,841,1,1041
"oconee","Westminster 1",1391,2924,47.5718194254446,106,13,2,5,6,554,8,5,699,204,5,10,10,1128,2,20,1379,191,31,1119,10,1,1352,187,1139,1,1327
"oconee","Westminster 2",833,1841,45.2471482889734,54,7,2,9,2,306,4,2,386,121,1,6,8,680,2,9,827,118,20,643,10,0,791,121,667,0,788
"oconee","West Union",901,1825,49.3698630136986,63,5,1,5,1,309,5,2,391,165,4,8,6,686,3,21,893,135,21,697,12,0,865,144,706,3,853
"oconee","Seneca 1",1260,2826,44.5859872611465,300,7,0,12,6,314,1,5,645,529,5,18,10,648,1,41,1252,444,18,742,4,1,1209,497,697,0,1194
"oconee","Seneca 2",967,2165,44.6651270207852,137,3,0,3,2,275,3,5,428,298,8,11,11,586,4,37,955,257,20,659,6,1,943,271,648,2,921
"oconee","Seneca 3",654,1381,47.3569876900797,76,3,0,5,2,203,1,4,294,166,1,9,3,452,2,17,650,144,17,469,5,0,635,163,469,0,632
"oconee","Seneca 4",1238,2909,42.5575799243726,291,11,3,6,6,289,7,5,618,527,4,13,14,637,5,26,1226,452,29,704,8,0,1193,491,667,2,1160
