"county","precinct","dem","wf","constitution","independence","green","gop","american","libertarian","sttotal"
"oconee","Newry-Corinth",15,1,1,0,0,48,0,0,65
"oconee","Earles Grove",34,3,0,1,2,188,2,0,230
"oconee","Ravenel",155,1,0,6,2,351,1,1,517
"oconee","Fair Play",35,1,1,3,0,244,3,0,287
"oconee","Friendship",110,9,4,13,3,395,9,6,549
"oconee","Holly Springs",7,5,1,3,0,104,2,1,123
"oconee","Keowee",48,4,1,6,3,318,2,2,384
"oconee","Long Creek",22,1,0,2,4,74,2,0,105
"oconee","Mountain Rest",38,2,0,3,2,181,3,1,230
"oconee","Madison",13,1,0,3,0,169,0,0,186
"oconee","Bountyland",63,6,0,5,1,303,1,2,381
"oconee","Oakway",54,3,4,4,0,281,4,4,354
"oconee","Return",23,2,0,1,0,166,1,2,195
"oconee","Richland",44,2,1,7,2,207,1,2,266
"oconee","Salem",53,7,2,8,4,418,7,1,500
"oconee","Stamp Creek",67,0,0,7,1,363,0,1,439
"oconee","New Hope",46,1,0,5,1,368,1,1,423
"oconee","Shiloh",114,4,1,4,1,186,2,1,313
"oconee","South Union",54,10,1,10,4,346,3,3,431
"oconee","Tamassee",51,2,0,4,2,287,3,3,352
"oconee","Tokeena-Providence",50,3,1,5,0,278,2,0,339
"oconee","Utica",84,6,0,5,2,93,2,1,193
"oconee","Walhalla 1",108,11,1,13,7,470,3,9,622
"oconee","Walhalla 2",120,17,3,5,5,398,9,3,560
"oconee","Westminster 1",106,13,2,5,6,554,8,5,699
"oconee","Westminster 2",54,7,2,9,2,306,4,2,386
"oconee","West Union",63,5,1,5,1,309,5,2,391
"oconee","Seneca 1",300,7,0,12,6,314,1,5,645
"oconee","Seneca 2",137,3,0,3,2,275,3,5,428
"oconee","Seneca 3",76,3,0,5,2,203,1,4,294
"oconee","Seneca 4",291,11,3,6,6,289,7,5,618
"oconee","Absentee",1064,8,3,34,13,3024,22,15,4183
"oconee","Emergency",0,0,0,0,0,0,0,0,0
"oconee","Failsafe",2,0,0,0,0,15,0,1,18
"oconee","Provisional",12,5,1,0,0,28,1,0,47
"oconee","Failsafe Provisional",4,0,0,0,0,12,0,0,16
