"county","precinct","dixon","bledsoe","scott","scarborough","senwritein","sentotal"
"pickens","Stone Church",292,18,398,5,0,713
"pickens","University",119,14,240,5,1,379
"pickens","Morrison",209,23,424,2,1,659
"pickens","Abel",232,11,235,5,2,485
"pickens","Calhoun",200,29,287,5,1,522
"pickens","Clemson",319,15,635,8,0,977
"pickens","Issaqueena",165,9,273,7,0,454
"pickens","West Central",159,22,249,2,0,432
"pickens","North Central",129,19,465,3,1,617
"pickens","Pike",169,15,369,2,1,556
"pickens","Lawrence Chapel",133,15,590,4,0,742
"pickens","Norris",100,16,558,5,1,680
"pickens","Six Mile",94,17,703,5,0,819
"pickens","Six Mile Mountain",105,19,729,8,2,863
"pickens","Praters Creek",36,13,462,4,0,515
"pickens","Mountain View",97,11,624,4,0,736
"pickens","Albert R. Lewis",76,24,616,6,3,725
"pickens","Holly Springs",128,17,669,2,1,817
"pickens","Pumpkintown",149,25,718,8,0,900
"pickens","Griffin",106,34,757,11,0,908
"pickens","North Pickens",63,20,634,6,0,723
"pickens","West Pickens",114,24,634,6,1,779
"pickens","South Pickens",129,11,427,6,0,573
"pickens","East Pickens",55,14,618,6,1,694
"pickens","Glassy Mountain",64,15,614,7,0,700
"pickens","Cedar Rock",75,9,656,8,0,748
"pickens","Skelton",62,16,600,4,0,682
"pickens","Rices Creek",86,21,589,1,1,698
"pickens","West Liberty",83,18,625,1,3,730
"pickens","East Liberty",97,20,522,7,1,647
"pickens","Flat Rock",94,20,597,6,0,717
"pickens","Zion",79,9,500,4,0,592
"pickens","Smith Grove",90,10,431,4,0,535
"pickens","Arial Mill",80,14,475,5,0,574
"pickens","Simpson",253,9,258,3,1,524
"pickens","Woodside",216,16,557,4,2,795
"pickens","Brushy Creek",161,23,768,6,1,959
"pickens","Pickensville",107,17,474,1,0,599
"pickens","Easley",111,18,500,6,0,635
"pickens","Forest Acres",115,8,378,3,1,505
"pickens","Crestview",82,14,590,1,0,687
"pickens","Sitton",139,17,686,2,1,845
"pickens","Rock Springs",117,13,559,7,0,696
"pickens","Saluda",132,15,518,6,0,671
"pickens","Crosswell",128,20,719,9,1,877
"pickens","Georges Creek",103,15,526,1,3,648
"pickens","McKissick",146,13,509,2,1,671
"pickens","Vinland",68,12,552,2,0,634
"pickens","Crossroads",72,15,658,6,0,751
"pickens","Dacusville",83,16,575,2,0,676
"pickens","Nine Forks",78,15,685,3,1,782
"pickens","South Central",209,17,352,3,1,582
"pickens","Crescent Hill",52,13,601,5,2,673
"pickens","North Liberty",99,12,496,2,3,612
"pickens","Pendleton",60,18,496,5,0,579
"pickens","Fruit Mountain",86,10,436,6,1,539
"pickens","Pope Field",104,9,393,2,1,509
"pickens","Sheffield",116,15,650,1,0,782
"pickens","Tri County",67,9,251,2,0,329
"pickens","McAllister",96,10,438,3,2,549
"pickens","Lenhart",110,9,490,1,1,611
"pickens","Absentee",1493,109,5393,34,8,7037
"pickens","Absentee 2",13,3,69,0,0,85
"pickens","Emergency",0,0,0,0,0,0
"pickens","Emergency 2",0,0,0,0,0,0
"pickens","Failsafe",25,4,84,2,0,115
"pickens","Failsafe 2",1,0,1,0,0,2
"pickens","Provisional",21,6,108,0,0,135
"pickens","Provisional 2",0,0,0,0,0,0
"pickens","Failsafe Provisional",7,1,33,1,1,43
